order,gender,home,university,major,before.university,post.university,qq.time,wechat.time,qq.strangers,qq.friends,qq.useful,qq.facilities,qq.knowledge,qq.easy,qq.privacy,qq.enjoyful,qq.habit,qq.social,qq.social.2,qq.important,qq.good,wechat.strangers,wechat.friends,wechat.useful,wechat.facilities,wechat.knowledge,wechat.easy,wechat.privacy,wechat.enjoyful,wechat.habit,wechat.social,wechat.social.2,wechat.important,wechat.good,第9题(功能各有所长),第9题(都用使用需求和使用场景),第9题(社交圈在QQ和微信大致相似),第9题(无所谓，随便用),第9题(其他)
9,2,2,1,1,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,6,6,7,7,7,2,4,6,6,6,6,4,-3,-3,-3,-3,-3
10,2,2,1,1,1,3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
11,1,3,1,1,3,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0
12,1,2,1,1,1,2,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,7,7,7,6,4,6,6,7,5,6,6,-3,-3,-3,-3,-3
13,1,2,1,1,1,2,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,6,7,7,7,7,6,7,7,4,4,7,6,-3,-3,-3,-3,-3
14,2,1,1,1,1,1,4,3,4,6,6,7,7,7,5,5,6,4,5,5,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
15,1,1,1,1,1,2,3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,7,7,7,7,3,6,7,5,4,7,6,-3,-3,-3,-3,-3
16,2,2,2,4,3,3,1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
17,1,2,1,1,1,3,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,0
18,2,3,1,1,2,2,1,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,6,6,5,5,6,7,4,3,4,4,-3,-3,-3,-3,-3
19,2,1,1,1,1,3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,0,0
20,2,2,1,1,1,2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,5,6,6,6,6,5,5,5,4,4,4,5,-3,-3,-3,-3,-3
21,2,1,1,1,1,3,3,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
22,2,2,1,1,1,1,4,2,5,5,6,5,5,6,3,4,5,4,3,6,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
23,2,1,1,1,1,2,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,6,6,5,5,6,5,5,6,4,3,6,6,-3,-3,-3,-3,-3
24,2,1,1,1,1,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,0
25,2,1,1,1,1,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,7,6,5,5,5,2,3,3,3,3,6,4,-3,-3,-3,-3,-3
26,2,1,1,1,1,3,4,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,0,0,0
